Date,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3-Dec-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Dec-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Dec-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Nov-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Nov-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Nov-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Nov-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Nov-24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
25-Nov-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Nov-24,112,2,3,2,3,5,6,6,4,2,3,3,3,10,9,6,8,3,0,0,1,4,15,11,3
23-Nov-24,34,2,5,15,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Nov-24,78,19,20,17,7,4,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Nov-24,11,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,5
20-Nov-24,38,20,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Nov-24,81,8,0,0,1,1,0,0,1,2,1,1,2,1,3,2,6,7,10,10,6,5,4,5,5
18-Nov-24,64,0,1,1,1,2,5,2,0,1,5,0,0,0,0,0,17,0,2,8,0,1,0,3,15
